PartId	Sex	Age	Country	Adieu
978	F	31	CH	8
979	F	32	FR	0
980	F	20	CH	5
981	M	42	CH	
982	F	21	CH	1
983	M	28	CH	4
984	F	41	CH	5
985	F	43	CH	3
986	M	47	CH	1
987	M	31	CH	0
988	F	31	CH	
989	F	35	CH	0
990	F	37	CH	2
991	F	37	CH	2
992	F	21	CH	3
993	F	21	CH	4
994	F	23	CH	0
995	F	33	CH	0
996	M	26	CH	8
997	F	44	CH	9
998	F	34	CH	0
999	F	37	CH	0
1000	M	41	CH	0
1001	F	19	CH	4
1002	F	23	CH	4
1003	M	42	CH	0
1004	F	54	FR	1
1005	F	30	CH	0
1006	M	36	CH	4
1007	M	37	CH	0
1008	F	22	CH	6
1009	F	28	CH	1
1010	F	28	CH	1
1011	F	55	CH	3
1012	M	65	CH	0
1013	M	19	CH	8
1014	M	24	CH	7
1015	F	37	CH	5
1016	F	24	CH	2
1017	M	27	CH	6
1018	F	36	CH	0
1019	M	31	CH	4
1020	F	49	CH	8
1021	M	49	CH	6
1022	M	20	CH	9
1023	F	21	CH	
1024	F	22	CH	2
1025	F	22	CH	6
1026	F	22	CH	8
1027	F	27	CH	4
1028	F	43	CH	0
1029	M	51	CH	0
1030	F	52	CH	
1031	F	52	CH	
1032	M	59	CH	
1033	F	18	CH	4
1034	M	53	CH	4
1035	M	40	CH	3
1036	F	51	CH	5
1037	M	15	CH	1
1038	M	15	CH	
1039	F	31	CH	1
1040	F	43	CH	0
1041	M	21	FR	0
1042	F	30	CH	0
1043	M	31	CH	3
1044	F	35	FR	3
1045	F	39	CH	0
1046	F	41	CH	7
1047	M	42	CH	7
1048	F	44	CH	0
1049	F	45	CH	10
1050	F	60	CH	3
1051	M	66	CH	0
1052	M	69	CH	3
1053	F	21	CH	6
1054	M	39	CH	0
1055	F	25	CH	3
1056	F	38	CH	8
1057	F	52	CH	
1058	M	35	CH	2
1059	F	21	CH	1
1060	M	55	CH	8
1061	F	28	FR	0
1062	F	22	CH	6
1063	F	23	CH	1
1064	M	53	CH	7
1065	M	23	CH	8
1066	F	25	CH	0
1067	F	24	FR	0
1068	F	29	FR	0
1069	F	30	FR	1
1070	F	45	FR	2
1071	F	26	CH	10
1072	M	26	CH	2
1073	F	41	CH	0
1074	F	38	CH	0
1075	F	47	CH	10
1076	F	34	CH	0
1077	F	21	CH	0
1078	F	21	CH	
1079	F	21	CH	
1080	F	23	FR	0
1081	F	34	CH	6
1082	F	37	CH	0
1083	F	38	CH	4
1084	F	39	CH	0
1085	F	42	CH	0
1086	F	30	CH	2
1087	M	40	CH	2
1088	M	41	CH	8
1089	M	44	CH	3
1090	F	20	CH	6
1091	F	41	CH	
1092	M	48	CH	2
1093	F	43	CH	0
1094	M	31	CH	
1095	F	15	CH	1
1096	F	15	CH	
1097	F	31	CH	5
1098	M	70	CH	3
1099	F	15	CH	3
1100	F	46	CH	0
1101	M	50	CH	0
1102	M	22	CH	7
1103	F	47	CH	1
1104	M	51	CH	10
1105	M	53	CH	0
1106	M	19	CH	
1107	M	21	BE	
1108	F	23	BE	0
1109	F	23	FR	0
1110	F	26	BE	0
1111	M	27	BE	0
1112	F	29	BE	0
1113	F	43	BE	0
1114	M	65	BE	0
1115	M	53	CH	0
1116	M	25	CH	10
1117	F	38	CH	8
1118	F	60	CH	3
1119	M	65	CH	4
1120	F	22	CH	10
1121	M	23	BE	0
1122	M	40	BE	0
1123	F	21	CH	5
1124	M	22	BE	0
1125	F	18	BE	0
1126	M	20	BE	0
1127	M	23	BE	0
1128	F	23	BE	0
1129	M	23	BE	
1130	M	24	FR	2
1131	F	40	BE	0
1132	F	43	BE	0
1133	F	44	BE	0
1134	F	45	BE	0
1135	F	50	BE	0
1136	F	51	BE	0
1137	F	35	BE	0
1138	F	19	BE	0
1139	F	19	BE	
1140	F	24	BE	0
1141	F	32	BE	0
1142	M	38	BE	0
1143	M	26	BE	0
1144	F	26	CH	4
1145	M	65	CH	8
1146	F	34	CH	0
1147	M	86	CH	2
1148	F	43	CH	10
1149	M	65	CH	
1150	F	16	CH	5
1151	F	18	CH	7
